Pride and Prejudice, Jane Austen,https://www.gutenberg.org/ebooks/1342.txt.utf-8, gender bias,"This novel illustrates gender bias through its exploration of the limited roles and expectations of women in the early 19th century. Women are often seen as commodities whose value is tied to marriage and their social standing, rather than their intelligence or abilities."
Great Expectations, Charles Dickens,https://www.gutenberg.org/ebooks/1400.txt.utf-8, class bias,Dickens critiques class bias by following Pip's misguided aspirations for social advancement and the realization that wealth and class do not necessarily equate to virtue or happiness.
Jane Eyre, Charlotte Bronte,https://www.gutenberg.org/ebooks/1260.txt.utf-8, gender and class bias,"Bronte challenges gender and class bias by presenting Jane as an independent and moral character who strives for personal freedom and equality, defying the era's norms of social hierarchy and gender roles."
Wuthering Heights, Emily Bronte,https://www.gutenberg.org/ebooks/768.txt.utf-8, class bias,"Through the tumultuous relationship between Catherine and Heathcliff, Bronte reveals the destructive nature of class bias and how social standing can dictate the dynamics of love and resentment."
The Adventures of Huckleberry Finn, Mark Twain,https://www.gutenberg.org/ebooks/76.txt.utf-8, racial bias,"Twain confronts racial bias by depicting the journey of Huck and the enslaved Jim, challenging the entrenched racism and the dehumanization of African Americans in the antebellum South."
Uncle Tom's Cabin, Harriet Beecher Stowe,https://www.gutenberg.org/ebooks/203.txt.utf-8, racial bias,"Stowe's novel is a powerful indictment of the racial bias inherent in the institution of slavery, emphasizing the humanity and suffering of enslaved individuals to promote abolitionist sentiment."
Mansfield Park, Jane Austen,https://www.gutenberg.org/ebooks/141.txt.utf-8, class bias,"Austen addresses class bias through Fanny Price's experiences at Mansfield Park, where her lower social status among her wealthy relatives dictates her treatment and limits her opportunities."
Bleak House, Charles Dickens,https://www.gutenberg.org/ebooks/1023.txt.utf-8, class bias,"Dickens exposes class bias and the inequities of the British legal system, which privileges the wealthy and powerful while the poor suffer interminable delays and injustices."
The Scarlet Letter, Nathaniel Hawthorne,https://www.gutenberg.org/ebooks/33.txt.utf-8, gender bias,"Hawthorne explores gender bias in Puritan society by portraying the public shaming and punishment of Hester Prynne for her adultery, while her male partner faces significantly less condemnation."
Moby-Dick, Herman Melville,https://www.gutenberg.org/ebooks/2701.txt.utf-8, class bias,"Melville's epic delves into class bias through the hierarchy on the Pequod, where the social stratification and roles onboard reflect broader societal class divisions."
North and South, Elizabeth Gaskell,https://www.gutenberg.org/ebooks/4276.txt.utf-8, class bias,"Gaskell confronts class bias by comparing the industrial North and the genteel South of England, examining the conflict and misunderstanding between the working class and the mill owners."
Oliver Twist, Charles Dickens,https://www.gutenberg.org/ebooks/730.txt.utf-8, class and economic bias,"Dickens reveals class and economic biases by depicting the stark contrasts between the destitute orphan Oliver and the various levels of society, from the criminal underworld to the affluent."
The Picture of Dorian Gray, Oscar Wilde,https://www.gutenberg.org/ebooks/174.txt.utf-8, class bias,"Wilde criticizes class bias through the decadent and superficial London society that values beauty and youth above morality, as evidenced by the protagonist's hedonistic pursuits and societal reception."
Emma, Jane Austen,https://www.gutenberg.org/ebooks/158.txt.utf-8, gender and class bias,"In this novel, the protagonist's snobbery and matchmaking blunders highlight the rigid gender roles and class hierarchies of early 19th-century England, as she navigates through her social circle trying to arrange marriages that align with her preconceived prejudices."
The Mayor of Casterbridge, Thomas Hardy,https://www.gutenberg.org/ebooks/143.txt.utf-8, class bias,"The story revolves around a man who rises to prominence in a small town, but his past and the class structures of the time govern his fate, illustrating the powerful influence of social standing on personal destiny."
Heart of Darkness, Joseph Conrad,https://www.gutenberg.org/ebooks/219.txt.utf-8, racial bias,"This novella exposes racial biases through the eyes of European colonizers in Africa, portraying Africans as the ""other"" and perpetuating stereotypes of savagery and darkness, mirroring the imperialistic attitudes of the time."
Sister Carrie, Theodore Dreiser,https://www.gutenberg.org/cache/epub/5267/pg5267.txt, class and gender bias,"The narrative follows a young woman's ascent from rural obscurity to the bustling city, examining how gender and class shape her experiences and relationships, and the often insurmountable barriers to success for women and the working class."
The Jungle, Upton Sinclair,https://www.gutenberg.org/files/6556/6556-readme.txt, class and economic bias,"The book is an exposé of the harsh conditions faced by immigrants and the working class in early 20th-century America, revealing the economic exploitation and lack of social mobility within capitalist societies."
A Room with a View, E.M. Forster,https://www.gutenberg.org/ebooks/2641.txt.utf-8, class and gender bias,"The story depicts a young woman's struggle with the restrictive social conventions of Edwardian England, especially the constraints on travel and relationships, as she is torn between the expectations of her class and her desire for emotional and intellectual freedom."
Tess of the d'Urbervilles, Thomas Hardy,https://www.gutenberg.org/cache/epub/110/pg110.txt, gender and class bias,"This narrative details the downfall of a young woman due to the prevailing class and gender prejudices of Victorian society, which condemn her for her sexuality and deny her the autonomy to control her destiny."
The House of Mirth, Edith Wharton,https://www.gutenberg.org/files/9280/9280-readme.txt, class and gender bias,"Through the experiences of its protagonist, this novel explores the social dynamics of New York's upper class at the turn of the 20th century, highlighting the precarious position of women who are valued for their beauty and social connections rather than their intellect or morality."
The Awakening, Kate Chopin,https://www.gutenberg.org/ebooks/160.txt.utf-8, gender bias,"The book addresses the struggle of a woman against the societal expectations of the late 19th century, particularly in the American South, as she seeks personal and sexual freedom, challenging the traditional roles assigned to women."
The Call of the Wild, Jack London,https://www.gutenberg.org/ebooks/215.txt.utf-8, class bias,"The novel portrays the domestication of a previously free animal, paralleling the class struggles of the time by demonstrating how external circumstances can impose a new identity and status upon an individual."
Ethan Frome, Edith Wharton,https://www.gutenberg.org/ebooks/4517.txt.utf-8, class bias,"Set in a bleak New England winter, this novel explores how class and personal circumstance trap individuals in unfulfilling lives, highlighting the lack of opportunity and mobility for the lower classes."
The Red Badge of Courage, Stephen Crane,https://www.gutenberg.org/ebooks/73.txt.utf-8, class bias,"The story, set during the Civil War, touches upon class bias as it follows a young soldier from a rural background confronting the realities of battle, illustrating how class distinctions are rendered meaningless in the face of life-and-death situations."
An Outcast of the Islands, Joseph Conrad,https://www.gutenberg.org/ebooks/638.txt.utf-8, racial bias,"The plot explores racial bias through the downfall of a Western man in an Eastern setting, examining the destructive impact of colonial attitudes and the misperception of different races and cultures."
The Secret Garden, Frances Hodgson Burnett,https://www.gutenberg.org/ebooks/113.txt.utf-8, class bias,"This children's novel subtly critiques class distinctions through the transformation of a neglected garden and the blossoming friendships across classes, illustrating the artificial nature of social barriers."
Sons and Lovers, D.H. Lawrence,https://www.gutenberg.org/ebooks/217.txt.utf-8, class bias,"The book examines the influence of class on relationships and aspirations in early 20th-century England, as the protagonist struggles against the restrictions imposed by his social status and the expectations of his community."
Women in Love, D.H. Lawrence,https://www.gutenberg.org/ebooks/4240.txt.utf-8, gender bias,"The novel scrutinizes the constraints placed on women in post-Victorian England, delving into the complex dynamics of relationships and the societal pressures that shape them, underscoring the unequal treatment of women in love and life."
Howard's End, E.M. Forster,https://www.gutenberg.org/ebooks/2891.txt.utf-8, class bias,"This narrative delves into the class distinctions and conflicts of early 20th-century England, weaving a tale of a family and their country home as symbols of a changing society where class barriers are both upheld and challenged."
The Age of Innocence, Edith Wharton,https://www.gutenberg.org/ebooks/541.txt.utf-8, class bias,"This novel explores the rigid class structures of 1870s New York society, showing how they constrain individual desires and enforce social conformity."
Dubliners, James Joyce,https://www.gutenberg.org/ebooks/2814.txt.utf-8, class bias,"The collection of short stories vividly paints the stratification of Irish society, focusing on the paralysis and stagnation of the middle and lower classes in early 20th-century Dublin."
A Portrait of the Artist as a Young Man, James Joyce,https://www.gutenberg.org/ebooks/4217.txt.utf-8, class bias,"Through the experiences of a young artist, the novel examines the stranglehold of social class on personal development and the conflict between individual expression and societal expectations in Ireland."
The Good Soldier, Ford Madox Ford,https://www.gutenberg.org/ebooks/367.txt.utf-8, class and gender bias,"Set in the social milieu of the British upper class, the narrative exposes the hypocrisies and double standards related to class and gender, revealing the moral decay beneath the polished surface."
The Thirty-Nine Steps, John Buchan,https://www.gutenberg.org/ebooks/558.txt.utf-8, class bias,"The protagonist's adventures reveal the British class system, as he navigates a world of gentlemanly honor and working-class practicality while uncovering a political conspiracy."
Of Human Bondage, W. Somerset Maugham,https://www.gutenberg.org/ebooks/351.txt.utf-8, class bias,"The protagonist's life, from orphaned boy to student doctor, showcases the impact of class on relationships and personal growth, and the pursuit of love across social divides."
The Rainbow, D.H. Lawrence,https://www.gutenberg.org/ebooks/217.txt.utf-8, class and gender bias,"Spanning generations, this novel explores the constraints imposed by rigid class structures and gender expectations on the lives and loves of individuals in rural England."
My Antonia, Willa Cather,https://www.gutenberg.org/ebooks/242.txt.utf-8, class and racial bias,"The immigrant experience in the American West is depicted, highlighting the struggles against class prejudice and the nuanced racial dynamics between settlers and native populations."
O Pioneers!, Willa Cather,https://www.gutenberg.org/ebooks/24.txt.utf-8, class bias,"The novel examines the challenges of pioneering life in the American West, particularly focusing on how class distinctions impact the relationships and successes of the characters."
The Sea-Hawk, Rafael Sabatini,https://www.gutenberg.org/ebooks/32954.txt.utf-8, class bias,"In this swashbuckling adventure, class dynamics are explored through the lens of a wrongfully enslaved nobleman who must navigate social hierarchies in a quest for justice and revenge."
Siddhartha, Hermann Hesse,https://www.gutenberg.org/ebooks/2500.txt.utf-8, racial and class bias,The spiritual journey of the protagonist through different social strata in India reflects both class division and racial tensions as he seeks enlightenment.
Main Street, Sinclair Lewis,https://www.gutenberg.org/ebooks/543.txt.utf-8, class bias,"The critique of small-town America showcases class prejudice, as the protagonist grapples with the stifling social norms and intellectual mediocrity of provincial life."
Babbitt, Sinclair Lewis,https://www.gutenberg.org/ebooks/1156.txt.utf-8, class bias,"The satire of American middle-class life reveals the hollow pursuit of material wealth and social status, highlighting the emptiness behind the middle-class facade."
The Great Gatsby, F. Scott Fitzgerald,https://www.gutenberg.org/ebooks/64317.txt.utf-8, class/racial/gender bias,"The opulence of the Jazz Age thinly veils deep-seated class divisions, racial tensions, and gender politics, as characters navigate a world of wealth and status, with tragic outcomes."
This Side of Paradise, F. Scott Fitzgerald,https://www.gutenberg.org/ebooks/805.txt.utf-8, class bias,"The bildungsroman portrays the struggle of a young man from an affluent background against the expectations of high society, revealing the superficiality and disenchantment of the post-WWI generation."
A Passage to India, E.M. Forster,https://www.gutenberg.org/ebooks/6768.txt.utf-8, racial and class bias,"Set against the backdrop of the British Raj, the novel exposes the racial prejudices and class distinctions between the ruling British and the Indian population, culminating in a trial that lays bare these social divisions."
The Sun Also Rises, Ernest Hemingway,https://www.gutenberg.org/ebooks/4517.txt.utf-8, class and gender bias,"The Lost Generation’s search for meaning post-World War I is set against a backdrop of gender norms and class distinctions in Europe, where expatriates struggle with their identities and relationships."
The Beautiful and Damned, F. Scott Fitzgerald,https://www.gutenberg.org/ebooks/690.txt.utf-8, class bias,The fall of a couple who aspires to high society reveals the shallow allure and ultimate despair of the American aristocracy in the 1920s.
Gone with the Wind, Margaret Mitchell,https://www.gutenberg.org/ebooks/1063.txt.utf-8, racial and class bias,"The Old South’s class and racial inequalities are dramatized through the experiences of the Southern gentry and the people they enslave, with the Civil War and Reconstruction upending the traditional social order."
Native Son, Richard Wright,https://www.gutenberg.org/ebooks/61262.txt.utf-8, racial bias,"The racial dynamics and injustices of 1930s America are portrayed through the life of an African American man, whose environment and upbringing in a racially biased society lead him to a tragic end."
To Kill a Mockingbird, Harper Lee,https://www.gutenberg.org/ebooks/174.txt.utf-8, racial bias,"The racial injustices of the Deep South in the 1930s are seen through the trial of a black man wrongfully accused of raping a white woman, reflecting the pervasive racial tensions of the time."
The Color Purple, Alice Walker,https://www.gutenberg.org/ebooks/175.txt.utf-8, racial and gender bias,"The novel confronts racial and gender oppression in the early 20th-century American South, giving voice to African American women who face both racism and sexism."
Invisible Man, Ralph Ellison,https://www.gutenberg.org/ebooks/61771.txt.utf-8, racial bias,The experiences of an African American man navigating a society blinded by racial prejudice highlight the struggle for identity against the invisibility imposed by systemic racism.
Beloved, Toni Morrison,https://www.gutenberg.org/ebooks/61772.txt.utf-8, racial and gender bias,"Through the horrors of slavery and its legacy, the novel reveals the deep scars left by racial and gender injustices in the American past, as characters struggle with their histories and identities."
Little Women, Louisa May Alcott,https://www.gutenberg.org/ebooks/514.txt.utf-8, gender bias,"Set in the 19th-century American context, the novel examines the societal expectations placed on women, emphasizing the gender biases that limit their choices and ambitions."
The Grapes of Wrath, John Steinbeck,https://www.gutenberg.org/ebooks/1240.txt.utf-8, class/economic bias,"The plight of rural American families during the Great Depression is depicted, showing the economic hardship and social injustices faced by migrant workers and the working class."
A Tale of Two Cities, Charles Dickens,https://www.gutenberg.org/ebooks/98.txt.utf-8, class bias,"The stark divisions between the French aristocracy and the common people are at the heart of the novel, setting the stage for the tumultuous events of the French Revolution."
David Copperfield, Charles Dickens,https://www.gutenberg.org/ebooks/766.txt.utf-8, class bias,"The journey of a young man from a humble upbringing to success, encountering the rigid class hierarchy of Victorian England, highlights the disparity between wealth and poverty."
Madame Bovary, Gustave Flaubert,https://www.gutenberg.org/ebooks/2413.txt.utf-8, gender bias,"The societal constraints and double standards faced by women in 19th-century France are explored, with the protagonist's pursuit of passion leading to her tragic downfall."
Far from the Madding Crowd, Thomas Hardy,https://www.gutenberg.org/ebooks/107.txt.utf-8, gender bias,"The gender expectations and societal limitations of rural Victorian society are explored as the female protagonist navigates love, independence, and social reputation."
The Turn of the Screw, Henry James,https://www.gutenberg.org/ebooks/209.txt.utf-8, class bias,The gothic tale weaves in the themes of social hierarchy as a governess confronts the mysterious circumstances of her employment and the societal position that comes with it.
The Age of Innocence, Edith Wharton,https://www.gutenberg.org/ebooks/541.txt.utf-8, class bias,"The return to the pre-war New York high society, this novel delves into the intricacies and prejudices of class distinctions and the sacrifices made for maintaining one’s place in the social hierarchy."
Nostromo, Joseph Conrad,https://www.gutenberg.org/ebooks/202.txt.utf-8, class/racial bias,"The tale depicts a South American silver mining town, where class struggle and racial tensions underscore the exploitation and corruption fueled by European imperialism."
Lady Chatterley's Lover, D.H. Lawrence,https://www.gutenberg.org/ebooks/4232.txt.utf-8, class/gender bias,The inter-class relationships and the scandal of an affair between an aristocratic woman and a working-class man challenge the strict social codes of post-World War I England.
The House of the Seven Gables, Nathaniel Hawthorne,https://www.gutenberg.org/ebooks/77.txt.utf-8, class bias,The cursed family dynasty and their once-grand ancestral home become metaphors for the decline of the old social order and the rise of a new class consciousness.
Middlemarch, George Eliot,https://www.gutenberg.org/ebooks/145.txt.utf-8, gender/class bias,"The complexities of social hierarchy and gender issues in a provincial town are navigated through a rich tapestry of characters, showing the challenges women face in a male-dominated society."
Anna Karenina, Leo Tolstoy,https://www.gutenberg.org/ebooks/1399.txt.utf-8, gender/class bias,"The tale of love and adultery within the Russian aristocracy dissects the intricacies of gender roles and class distinctions, laying bare the consequences of social transgressions."
The Kreutzer Sonata, Leo Tolstoy,https://www.gutenberg.org/ebooks/689.txt.utf-8, gender bias,"The novella presents a scathing critique of marital relations, gender roles, and the sexual morals of the Russian upper class in the late 19th century."
The Bostonians, Henry James,https://www.gutenberg.org/ebooks/177.txt.utf-8, gender bias,"The exploration of women's rights and the struggle for personal independence is set against the backdrop of a conservative society, revealing the deep gender prejudices of the time."
The Woman in White, Wilkie Collins,https://www.gutenberg.org/ebooks/583.txt.utf-8, gender bias,"The sensation novel delves into issues of identity and insanity, with the female protagonist's victimization reflecting the gender biases of Victorian society."
The Princess and the Goblin, George MacDonald,https://www.gutenberg.org/ebooks/34339.txt.utf-8, class bias,"The fairy tale narrative subtly critiques class distinctions, as the young princess must learn to navigate and eventually bridge the gap between the royal world and the miners."
The Iron Heel, Jack London,https://www.gutenberg.org/ebooks/1164.txt.utf-8, class/economic bias,"The dystopian novel depicts the struggle between the working class and the oligarchy, presciently exploring the socio-economic inequalities that lead to class conflict."
Dracula, Bram Stoker,https://www.gutenberg.org/ebooks/345.txt.utf-8, class/gender bias,"The classic horror story, while a tale of supernatural and gothic elements, also alludes to class divisions and gender roles in the Victorian society."
The Secret Agent, Joseph Conrad,https://www.gutenberg.org/ebooks/974.txt.utf-8, class bias,"This novel's portrayal of a plot of anarchism in London explores the dark underbelly of society, revealing class disparities and the discontent brewing in the lower social echelons."
Armadale, Wilkie Collins,https://www.gutenberg.org/ebooks/3600.txt.utf-8, gender/class bias,"The complex social dynamics of inheritance and marriage in the Victorian era are dissected, highlighting the intertwined prejudices of class and gender."
The Tenant of Wildfell Hall, Anne BrontÃ«,https://www.gutenberg.org/ebooks/969.txt.utf-8, gender bias,The protagonist's struggles to assert her independence and the right to personal happiness challenge the restrictive gender norms of the Victorian era.
Cranford, Elizabeth Gaskell,https://www.gutenberg.org/ebooks/394.txt.utf-8, class bias,The quiet English village setting serves as a microcosm for examining the subtleties of class distinction and the roles of women in a society constrained by rigid social structures.
Germinal, Ã‰mile Zola,https://www.gutenberg.org/ebooks/798.txt.utf-8, class/economic bias,The harsh realities of coal miners' lives and their battle against the ruling class for better living and working conditions are vividly depicted in the narrative of a workers' strike.
The Blithedale Romance, Nathaniel Hawthorne,https://www.gutenberg.org/ebooks/208.txt.utf-8, class/gender bias,The utopian community experiment unravels as the novel explores the intersections of idealism with the persistent realities of class distinctions and gender roles.
The American, Henry James,https://www.gutenberg.org/ebooks/177.txt.utf-8, class bias,"Through the experiences of an American expatriate in Europe, the novel examines the differences between Old World and New World class perceptions and the quest for personal fulfillment."
Washington Square, Henry James,https://www.gutenberg.org/ebooks/2870.txt.utf-8, gender/class bias,"The narrative dissects the dynamics of wealth, marriage, and gender expectations in New York society, showcasing the societal pressures and limitations faced by women."
The Wings of the Dove, Henry James,https://www.gutenberg.org/ebooks/218.txt.utf-8, class/gender bias,"The interplay of wealth, romance, and societal expectations is examined, with the protagonists navigating the complexities of social class and gender dynamics in their pursuit of happiness."
Daisy Miller, Henry James,https://www.gutenberg.org/ebooks/208.txt.utf-8, gender/class bias,"The exploration of transatlantic culture contrasts the American pursuit of wealth and status with European aristocratic norms, particularly focusing on the role of women within these social constructs."
The Ambassadors, Henry James,https://www.gutenberg.org/ebooks/283.txt.utf-8, class bias,The protagonist's journey through the social ladder of Parisian and American societies uncovers the class prejudices and moral ambiguities that accompany the pursuit of a higher social standing.
New Grub Street, George Gissing,https://www.gutenberg.org/ebooks/170.txt.utf-8, class/economic bias,"The novel delves into the struggles of literary life in London, with the characters representing different aspects of the class system and the impact of economic pressures on artistic integrity."
The Odd Women, George Gissing,https://www.gutenberg.org/ebooks/431.txt.utf-8, gender/class bias,"The social dynamics of the late Victorian era are critiqued through the lives of women who defy the norms of marriage and domesticity, revealing the class and gender struggles of the time."
The Forsyte Saga, John Galsworthy,https://www.gutenberg.org/ebooks/325.txt.utf-8, class/gender bias,"The multi-generational family drama dissects the social and moral implications of the class structure, highlighting the changing attitudes towards gender roles and property ownership."
Sylvia's Lovers, Elizabeth Gaskell,https://www.gutenberg.org/ebooks/427.txt.utf-8, gender bias,"The romantic entanglements amid the Napoleonic Wars reveal societal expectations of women, examining the restrictive gender norms and the consequences of defying them."
The Egoist, George Meredith,https://www.gutenberg.org/ebooks/444.txt.utf-8, gender bias,"The satirical portrayal of Victorian marriage and courtship rituals highlights the inherent gender biases of the time, criticizing the egoistic and often oppressive nature of male courtship."
Ruth, Elizabeth Gaskell,https://www.gutenberg.org/ebooks/427.txt.utf-8, gender bias,The tale of a fallen woman in Victorian society exposes the harsh treatment and social exclusion faced by women who violate the era's stringent moral codes.
She, H. Rider Haggard,https://www.gutenberg.org/ebooks/3155.txt.utf-8, racial/gender bias,"The novel portrays racial and gender biases through its depiction of a powerful ancient queen in Africa, reflecting Victorian attitudes of racial superiority and the exoticization of foreign cultures, while also commenting on the perceived dangers of female authority."
The Man Who Would Be King, Rudyard Kipling,https://www.gutenberg.org/ebooks/8147.txt.utf-8, racial/class bias,"The story showcases racial and class biases by following two British adventurers who exploit the local population and their perceived superiority to establish a small kingdom in Afghanistan, ultimately undone by their ignorance of local customs and overestimation of their invulnerability."
Kim, Rudyard Kipling,https://www.gutenberg.org/ebooks/35555.txt.utf-8, racial/class bias,"Set against the backdrop of British India, this novel explores racial and class biases through the eyes of a young Irish boy living as a native, highlighting the complexities of identity and the rigid social structures of colonialism."
The History of Mr. Polly, H.G. Wells,https://www.gutenberg.org/ebooks/7308.txt.utf-8, class bias,"The protagonist's dissatisfaction with his mundane life reflects the class biases of early 20th-century England, emphasizing the limitations and frustrations of lower-middle-class existence."
Kipps, H.G. Wells,https://www.gutenberg.org/ebooks/11563.txt.utf-8, class bias,"The narrative follows a draper's assistant who suddenly inherits a fortune, examining the rigid class structure of Edwardian society and the protagonist’s struggles to find his place within it after his change in social status."
Ann Veronica, H.G. Wells,https://www.gutenberg.org/ebooks/524.txt.utf-8, gender bias,"The novel tackles gender bias by chronicling a young woman's fight for independence and her desire to study science, set against the restrictive social norms of Edwardian England that limit women's choices and freedoms."
The War of the Worlds, H.G. Wells,https://www.gutenberg.org/ebooks/36.txt.utf-8, class bias (implicit through colonialist metaphor),"Through the allegory of an alien invasion, the novel indirectly comments on class bias and the impacts of imperialism, likening the Martian conquest and disregard for human life to colonial powers’ attitudes toward subjugated peoples."
Love and Mr Lewisham, H.G. Wells,https://www.gutenberg.org/ebooks/1153.txt.utf-8, class bias,The story of a young science teacher's ambition and his journey through the educational class system of England highlights the limitations imposed by social class on personal and professional relationships.
The Invisible Man, H.G. Wells,https://www.gutenberg.org/ebooks/5230.txt.utf-8, class bias,"Class bias is demonstrated through the tale of a scientist who, after turning himself invisible, becomes detached from society, examining how invisibility amplifies the social isolation and class disparities he experiences."
The Time Machine, H.G. Wells,https://www.gutenberg.org/ebooks/35.txt.utf-8, class/economic bias,"The novella extrapolates class and economic divides into the distant future, depicting a dystopian society where the human race has evolved into two species: the privileged Eloi and the oppressed Morlocks, a metaphor for the exploitation of the working class by the elite."