Pride and Prejudice, Jane Austen,https://www.gutenberg.org/ebooks/1342.txt.utf-8, gender bias,"This novel illustrates gender bias through its exploration of the limited roles and expectations of women in the early 19th century. Women are often seen as commodities whose value is tied to marriage and their social standing,As Elizabeth had no longer any interest of her own to pursue, she turned her attention almost entirely on her sister and Mr. Bingley.
Great Expectations, Charles Dickens,https://www.gutenberg.org/ebooks/1400.txt.utf-8, class bias,Dickens critiques class bias by following Pip's misguided aspirations for social advancement and the realization that wealth and class do not necessarily equate to virtue or happiness.,By degrees he fell to reposing such great confidence in me, as to ask my advice in reference to his own affairs.
Jane Eyre, Charlotte Bronte,https://www.gutenberg.org/ebooks/1260.txt.utf-8, gender and class bias,"Bronte challenges gender and class bias by presenting Jane as an independent and moral character who strives for personal freedom and equality,Impatiently I waited for evening, when I might summon you to my presence.
Wuthering Heights, Emily Bronte,https://www.gutenberg.org/ebooks/768.txt.utf-8, class bias,"Through the tumultuous relationship between Catherine and Heathcliff,You pay a royalty fee of 20% of the gross profits you derive from the use of Project Gutenberg™ works calculated using the method you already use to calculate your applicable taxes.
The Adventures of Huckleberry Finn, Mark Twain,https://www.gutenberg.org/ebooks/76.txt.utf-8, racial bias,"Twain confronts racial bias by depicting the journey of Huck and the enslaved Jim,Col. Grangerford was a gentleman, you see.
Uncle Tom's Cabin, Harriet Beecher Stowe,https://www.gutenberg.org/ebooks/203.txt.utf-8, racial bias,"Stowe's novel is a powerful indictment of the racial bias inherent in the institution of slavery,"O, yes, to be sure, the question is,—and a deuce of a question it is! How came you in this state of sin and misery?
Mansfield Park, Jane Austen,https://www.gutenberg.org/ebooks/141.txt.utf-8, class bias,"Austen addresses class bias through Fanny Price's experiences at Mansfield Park,Sir Thomas, poor Sir Thomas, a parent, and conscious of errors in his own conduct as a parent, was the longest to suffer.
Bleak House, Charles Dickens,https://www.gutenberg.org/ebooks/1023.txt.utf-8, class bias,"Dickens exposes class bias and the inequities of the British legal system,It was one of those delightfully irregular houses where you go up and down steps out of one room into another.
The Scarlet Letter, Nathaniel Hawthorne,https://www.gutenberg.org/ebooks/33.txt.utf-8, gender bias,"Hawthorne explores gender bias in Puritan society by portraying the public shaming and punishment of Hester Prynne for her adultery,"The father of the Custom-House—the patriarch, not only of this little squad of officials, but, I am bold to say, of the respectable body of tide-waiters all over the United States—was a certain permanent Inspector."
Moby-Dick, Herman Melville,https://www.gutenberg.org/ebooks/2701.txt.utf-8, class bias,"Melville's epic delves into class bias through the hierarchy on the Pequod,"In his infallible wake, though; but follow that wake, that's all."
North and South, Elizabeth Gaskell,https://www.gutenberg.org/ebooks/4276.txt.utf-8, class bias,"Gaskell confronts class bias by comparing the industrial North and the genteel South of England,Romance of King Arthur.
Oliver Twist, Charles Dickens,https://www.gutenberg.org/ebooks/730.txt.utf-8, class and economic bias,"Dickens reveals class and economic biases by depicting the stark contrasts between the destitute orphan Oliver and the various levels of society,It was fortunate for her that the possession of money occasioned him so much employment next day in the way of eating and drinking.
The Picture of Dorian Gray, Oscar Wilde,https://www.gutenberg.org/ebooks/174.txt.utf-8, class bias,"Wilde criticizes class bias through the decadent and superficial London society that values beauty and youth above morality,"Such, at any rate, was Dorian Gray's opinion."
Emma, Jane Austen,https://www.gutenberg.org/ebooks/158.txt.utf-8, gender and class bias,"In this novel,The party was rather large, as it included one other family, a proper unobjectionable country family, whom the Coles had the advantage of naming among their acquaintance, and the male part of Mr. Cox's family, the lawyer of Highbury.
The Mayor of Casterbridge, Thomas Hardy,https://www.gutenberg.org/ebooks/143.txt.utf-8, class bias,"The story revolves around a man who rises to prominence in a small town,"To Elizabeth-Jane the time was a most triumphant one."
Heart of Darkness, Joseph Conrad,https://www.gutenberg.org/ebooks/219.txt.utf-8, racial bias,"This novella exposes racial biases through the eyes of European colonizers in Africa,The first sentence in this paragraph is: "I laid the ghost of his gifts at last with a lie," he began, suddenly.
Sister Carrie, Theodore Dreiser,https://www.gutenberg.org/cache/epub/5267/pg5267.txt, class and gender bias,"The narrative follows a young woman's ascent from rural obscurity to the bustling city,In the city, at that time, there were a number of charities similar in nature to that of the captain's, which Hurstwood now patronised in a like unfortunate way.
The Jungle, Upton Sinclair,https://www.gutenberg.org/files/6556/6556-readme.txt, class and economic bias,"The book is an exposé of the harsh conditions faced by immigrants and the working class in early 20th-century America,The Project Gutenberg Literary Archive Foundation ("the Foundation" or PGLAF), owns a compilation copyright in the collection of Project Gutenberg-tm electronic works.
A Room with a View, E.M. Forster,https://www.gutenberg.org/ebooks/2641.txt.utf-8, class and gender bias,"The story depicts a young woman's struggle with the restrictive social conventions of Edwardian England,Miss Bartlett burst into florid gratitude.
Tess of the d'Urbervilles, Thomas Hardy,https://www.gutenberg.org/cache/epub/110/pg110.txt, gender and class bias,"This narrative details the downfall of a young woman due to the prevailing class and gender prejudices of Victorian society,"Oh yes; there's nothing like a fiddle," said the dairyman.
The House of Mirth, Edith Wharton,https://www.gutenberg.org/files/9280/9280-readme.txt, class and gender bias,"Through the experiences of its protagonist,The Project Gutenberg Literary Archive Foundation ("the Foundation" or PGLAF), owns a compilation copyright in the collection of Project Gutenberg-tm electronic works.
The Awakening, Kate Chopin,https://www.gutenberg.org/ebooks/160.txt.utf-8, gender bias,"The book addresses the struggle of a woman against the societal expectations of the late 19th century,You pay a royalty fee of 20% of the gross profits you derive from the use of Project Gutenberg™ works calculated using the method you already use to calculate your applicable taxes.
The Call of the Wild, Jack London,https://www.gutenberg.org/ebooks/215.txt.utf-8, class bias,"The novel portrays the domestication of a previously free animal,You pay a royalty fee of 20% of the gross profits you derive from the use of Project Gutenberg™ works calculated using the method you already use to calculate your applicable taxes.
Ethan Frome, Edith Wharton,https://www.gutenberg.org/ebooks/4517.txt.utf-8, class bias,"Set in a bleak New England winter,He felt all the more sorry for the girl because misfortune had, in a sense, indentured her to them.
The Red Badge of Courage, Stephen Crane,https://www.gutenberg.org/ebooks/73.txt.utf-8, class bias,"The story,You pay a royalty fee of 20% of the gross profits you derive from the use of Project Gutenberg™ works calculated using the method you already use to calculate your applicable taxes.
An Outcast of the Islands, Joseph Conrad,https://www.gutenberg.org/ebooks/638.txt.utf-8, racial bias,"The plot explores racial bias through the downfall of a Western man in an Eastern setting,"Of course, I did not see that. I told you I was stuck in the creek on account of father's--Captain Lingard's--susceptible temper."
The Secret Garden, Frances Hodgson Burnett,https://www.gutenberg.org/ebooks/113.txt.utf-8, class bias,"This children's novel subtly critiques class distinctions through the transformation of a neglected garden and the blossoming friendships across classes,You pay a royalty fee of 20% of the gross profits you derive from the use of Project Gutenberg™ works calculated using the method you already use to calculate your applicable taxes.
Sons and Lovers, D.H. Lawrence,https://www.gutenberg.org/ebooks/217.txt.utf-8, class bias,"The book examines the influence of class on relationships and aspirations in early 20th-century England,Her great companion was her mother.
Women in Love, D.H. Lawrence,https://www.gutenberg.org/ebooks/4240.txt.utf-8, gender bias,"The novel scrutinizes the constraints placed on women in post-Victorian England,"His body was slight and unformed, like a boy's, but his voice was mature, sardonic, its movement had the flexibility of essential energy, and of a mocking penetrating understanding."
Howard's End, E.M. Forster,https://www.gutenberg.org/ebooks/2891.txt.utf-8, class bias,"This narrative delves into the class distinctions and conflicts of early 20th-century England,You pay a royalty fee of 20% of the gross profits you derive from the use of Project Gutenberg™ works calculated using the method you already use to calculate your applicable taxes.
The Age of Innocence, Edith Wharton,https://www.gutenberg.org/ebooks/541.txt.utf-8, class bias,"The return to the pre-war New York high society,The case of the Countess Olenska had stirred up old settled convictions and set them drifting dangerously through his mind.
Dubliners, James Joyce,https://www.gutenberg.org/ebooks/2814.txt.utf-8, class bias,"The collection of short stories vividly paints the stratification of Irish society,"I wished to go in and look at him but I had not the courage to knock."
A Portrait of the Artist as a Young Man, James Joyce,https://www.gutenberg.org/ebooks/4217.txt.utf-8, class bias,"Through the experiences of a young artist,Well, I suppose that doesn't interest you.
The Good Soldier, Ford Madox Ford,https://www.gutenberg.org/ebooks/367.txt.utf-8, class and gender bias,"Set in the social milieu of the British upper class,"I was delighted, for my part, that the vicissitudes and dangers of the Miranda, in a rocky channel, should have given me this opportunity to make acquaintance with an old fisherman to whom I had never spoken."
The Thirty-Nine Steps, John Buchan,https://www.gutenberg.org/ebooks/558.txt.utf-8, class bias,"The protagonist's adventures reveal the British class system,You pay a royalty fee of 20% of the gross profits you derive from the use of Project Gutenberg™ works calculated using the method you already use to calculate your applicable taxes.
Of Human Bondage, W. Somerset Maugham,https://www.gutenberg.org/ebooks/351.txt.utf-8, class bias,"The protagonist's life,"Flanagan, though he was the most scatter-brained person in the world, had a tenderness of heart which was unexpected and charming."
The Rainbow, D.H. Lawrence,https://www.gutenberg.org/ebooks/217.txt.utf-8, class and gender bias,"Spanning generations,Her great companion was her mother.
My Antonia, Willa Cather,https://www.gutenberg.org/ebooks/242.txt.utf-8, class and racial bias,"The immigrant experience in the American West is depicted,He was born in the Far South, on the d'Arnault plantation, where the spirit if not the fact of slavery persisted.
O Pioneers!, Willa Cather,https://www.gutenberg.org/ebooks/24.txt.utf-8, class bias,"The novel examines the challenges of pioneering life in the American West,Frank's case was all the more painful because he had no one in particular to fix his jealousy upon.
The Sea-Hawk, Rafael Sabatini,https://www.gutenberg.org/ebooks/32954.txt.utf-8, class bias,"In this swashbuckling adventure,"Hatch and Sir Oliver discussed together for awhile their altered situation."
Siddhartha, Hermann Hesse,https://www.gutenberg.org/ebooks/2500.txt.utf-8, racial and class bias,The spiritual journey of the protagonist through different social strata in India reflects both class division and racial tensions as he seeks enlightenment.,With a gloomy mind, Siddhartha went to the pleasure-garden he owned, locked the gate, sat down under a mango-tree, felt death in his heart and horror in his chest, sat and sensed how everything died in him, withered in him, came to an end in him.
Main Street, Sinclair Lewis,https://www.gutenberg.org/ebooks/543.txt.utf-8, class bias,"The critique of small-town America showcases class prejudice,Ezra Stowbody was a troglodyte.
Babbitt, Sinclair Lewis,https://www.gutenberg.org/ebooks/1156.txt.utf-8, class bias,"The satire of American middle-class life reveals the hollow pursuit of material wealth and social status,"They talked to the secretary of the Zenith Foundry Company about an interesting artistic project--a cast-iron fence for Linden Lane Cemetery."
The Great Gatsby, F. Scott Fitzgerald,https://www.gutenberg.org/ebooks/64317.txt.utf-8, class/racial/gender bias,"The opulence of the Jazz Age thinly veils deep-seated class divisions,You pay a royalty fee of 20% of the gross profits you derive from the use of Project Gutenberg™ works calculated using the method you already use to calculate your applicable taxes.
This Side of Paradise, F. Scott Fitzgerald,https://www.gutenberg.org/ebooks/805.txt.utf-8, class bias,"The bildungsroman portrays the struggle of a young man from an affluent background against the expectations of high society,"Down-stairs, in the club's great room, she was surrounded for a moment by the girls she had met in the afternoon, then she heard Sally's voice repeating a cycle of names, and found herself bowing to a sextet of black and white, terribly stiff, vaguely familiar figures."
A Passage to India, E.M. Forster,https://www.gutenberg.org/ebooks/6768.txt.utf-8, racial and class bias,"Set against the backdrop of the British Raj,Mr Warden ambled home, very happy and contented.
The Sun Also Rises, Ernest Hemingway,https://www.gutenberg.org/ebooks/4517.txt.utf-8, class and gender bias,"The Lost Generation’s search for meaning post-World War I is set against a backdrop of gender norms and class distinctions in Europe,He felt all the more sorry for the girl because misfortune had, in a sense, indentured her to them.
The Beautiful and Damned, F. Scott Fitzgerald,https://www.gutenberg.org/ebooks/690.txt.utf-8, class bias,The fall of a couple who aspires to high society reveals the shallow allure and ultimate despair of the American aristocracy in the 1920s.,The labor movement in America has been characterized on both sides by very great violence.
Gone with the Wind, Margaret Mitchell,https://www.gutenberg.org/ebooks/1063.txt.utf-8, racial and class bias,"The Old South’s class and racial inequalities are dramatized through the experiences of the Southern gentry and the people they enslave,You pay a royalty fee of 20% of the gross profits you derive from the use of Project Gutenberg™ works calculated using the method you already use to calculate your applicable taxes.
Native Son, Richard Wright,https://www.gutenberg.org/ebooks/61262.txt.utf-8, racial bias,"The racial dynamics and injustices of 1930s America are portrayed through the life of an African American man,Crabtree Manor, in spite of its name, is really only an old farmhouse.
To Kill a Mockingbird, Harper Lee,https://www.gutenberg.org/ebooks/174.txt.utf-8, racial bias,"The racial injustices of the Deep South in the 1930s are seen through the trial of a black man wrongfully accused of raping a white woman,"Such, at any rate, was Dorian Gray's opinion."
The Color Purple, Alice Walker,https://www.gutenberg.org/ebooks/175.txt.utf-8, racial and gender bias,"The novel confronts racial and gender oppression in the early 20th-century American South,Erik was born in a small town not far from Rouen.
Invisible Man, Ralph Ellison,https://www.gutenberg.org/ebooks/61771.txt.utf-8, racial bias,The experiences of an African American man navigating a society blinded by racial prejudice highlight the struggle for identity against the invisibility imposed by systemic racism.,Our world to-day is not so conceived.
Beloved, Toni Morrison,https://www.gutenberg.org/ebooks/61772.txt.utf-8, racial and gender bias,"Through the horrors of slavery and its legacy,Le conseil estime que la question proposée souffre de grandes difficultés.
Little Women, Louisa May Alcott,https://www.gutenberg.org/ebooks/514.txt.utf-8, gender bias,"Set in the 19th-century American context,It never was a fashionable school, and the Professor did not lay up a fortune, but it was just what Jo intended it to be—‘a happy, homelike place for boys, who needed teaching, care, and kindness’.
The Grapes of Wrath, John Steinbeck,https://www.gutenberg.org/ebooks/1240.txt.utf-8, class/economic bias,"The plight of rural American families during the Great Depression is depicted,In writing THE PLAYBOY OF THE WESTERN WORLD, as in my other plays, I have used one or two words only that I have not heard among the country people of Ireland, or spoken in my own nursery before I could read the newspapers.
A Tale of Two Cities, Charles Dickens,https://www.gutenberg.org/ebooks/98.txt.utf-8, class bias,"The stark divisions between the French aristocracy and the common people are at the heart of the novel,I made the patient swallow, with great difficulty, and after many efforts, the dose that I desired to give.
David Copperfield, Charles Dickens,https://www.gutenberg.org/ebooks/766.txt.utf-8, class bias,"The journey of a young man from a humble upbringing to success,"The Third. And last. I am now in a condition to show, by--HEEP'S--false books, and--HEEP'S--real memoranda, beginning with the partially destroyed pocket-book (which I was unable to comprehend, at the time of its accidental discovery by Mrs. Micawber, on our taking possession of our present abode, in the locker or bin devoted to the reception of the ashes calcined on our domestic hearth) that the weaknesses, the faults, the very virtues, the parental affections, and the sense of honour, of the unhappy Mr. W. have been for years acted on by, and warped to the base purposes of--HEEP."
Madame Bovary, Gustave Flaubert,https://www.gutenberg.org/ebooks/2413.txt.utf-8, gender bias,"The societal constraints and double standards faced by women in 19th-century France are explored,At last it came, the famous agricultural show.
Far from the Madding Crowd, Thomas Hardy,https://www.gutenberg.org/ebooks/107.txt.utf-8, gender bias,"The gender expectations and societal limitations of rural Victorian society are explored as the female protagonist navigates love,"The maltster cleared his throat in an exaggerated form for emphasis, and elongating his gaze to the remotest point of the ashpit, said, in the slow speech justifiable when the importance of a subject is so generally felt that any mannerism must be tolerated in getting at it,"
The Turn of the Screw, Henry James,https://www.gutenberg.org/ebooks/209.txt.utf-8, class bias,The gothic tale weaves in the themes of social hierarchy as a governess confronts the mysterious circumstances of her employment and the societal position that comes with it.,It was all very well to join them, but speaking to them proved quite as much as ever an effort beyond my strength—offered, in close quarters, difficulties as insurmountable as before.
Nostromo, Joseph Conrad,https://www.gutenberg.org/ebooks/202.txt.utf-8, class/racial bias,"The tale depicts a South American silver mining town,"I may be asked, why I am so anxious to bring this subject before the British public—why I do not confine my efforts to the United States?"
Lady Chatterley's Lover, D.H. Lawrence,https://www.gutenberg.org/ebooks/4232.txt.utf-8, class/gender bias,The inter-class relationships and the scandal of an affair between an aristocratic woman and a working-class man challenge the strict social codes of post-World War I England.,"I know of no book which has come down to us with grander pretensions than this, and it is so impersonal and sincere that it is never offensive nor ridiculous."
The House of the Seven Gables, Nathaniel Hawthorne,https://www.gutenberg.org/ebooks/77.txt.utf-8, class bias,The cursed family dynasty and their once-grand ancestral home become metaphors for the decline of the old social order and the rise of a new class consciousness.,It being her first day of complete estrangement from rural objects,
Middlemarch, George Eliot,https://www.gutenberg.org/ebooks/145.txt.utf-8, gender/class bias,"The complexities of social hierarchy and gender issues in a provincial town are navigated through a rich tapestry of characters,It was true, she said to herself, that Mr. Casaubon had a debt to the Ladislaws—that he had to pay back what the Ladislaws had been wronged of.
Anna Karenina, Leo Tolstoy,https://www.gutenberg.org/ebooks/1399.txt.utf-8, gender/class bias,"The tale of love and adultery within the Russian aristocracy dissects the intricacies of gender roles and class distinctions,You pay a royalty fee of 20% of the gross profits you derive from the use of Project Gutenberg™ works calculated using the method you already use to calculate your applicable taxes.
The Kreutzer Sonata, Leo Tolstoy,https://www.gutenberg.org/ebooks/689.txt.utf-8, gender bias,"The novella presents a scathing critique of marital relations,"The old man coughed and continued: “Do you think Christ thought us wicked? Did he not die that we might be saved?”
The Bostonians, Henry James,https://www.gutenberg.org/ebooks/177.txt.utf-8, gender bias,"The exploration of women's rights and the struggle for personal independence is set against the backdrop of a conservative society,In that uninitiated observation of the great spectacle of English life upon which I have touched, it might be supposed that Newman passed a great many dull days.
The Woman in White, Wilkie Collins,https://www.gutenberg.org/ebooks/583.txt.utf-8, gender bias,"The sensation novel delves into issues of identity and insanity,"In his hand, the golden Papa has a letter; and after he has made his excuse for disturbing us in our Infernal Region with the common mortal Business of the house, he addresses himself to the three young Misses, and begins, as you English begin everything in this blessed world that you have to say, with a great O."
The Princess and the Goblin, George MacDonald,https://www.gutenberg.org/ebooks/34339.txt.utf-8, class bias,"The fairy tale narrative subtly critiques class distinctions,You pay a royalty fee of 20% of the gross profits you derive from the use of Project Gutenberg™ works calculated using the method you already use to calculate your applicable taxes.
The Iron Heel, Jack London,https://www.gutenberg.org/ebooks/1164.txt.utf-8, class/economic bias,"The dystopian novel depicts the struggle between the working class and the oligarchy,"This delicate, aristocratic-featured gentleman was a dummy director and a tool of corporations that secretly robbed widows and orphans."
Dracula, Bram Stoker,https://www.gutenberg.org/ebooks/345.txt.utf-8, class/gender bias,"The classic horror story,"1 November.--All day long we have travelled, and at a good speed."
The Secret Agent, Joseph Conrad,https://www.gutenberg.org/ebooks/974.txt.utf-8, class bias,"This novel's portrayal of a plot of anarchism in London explores the dark underbelly of society,"This opinion had nothing to recommend it but the general consent of mankind."
Armadale, Wilkie Collins,https://www.gutenberg.org/ebooks/3600.txt.utf-8, gender/class bias,"The complex social dynamics of inheritance and marriage in the Victorian era are dissected,The first sentence in this paragraph is: "When we say that the infinity of ages, as well past as to come, are but one instant with God; that his goodness, wisdom, and power are the same with his essence; our mouths speak it, but our understandings apprehend it not."
The Tenant of Wildfell Hall, Anne BrontÃ«,https://www.gutenberg.org/ebooks/969.txt.utf-8, gender bias,The protagonist's struggles to assert her independence and the right to personal happiness challenge the restrictive gender norms of the Victorian era.,You pay a royalty fee of 20% of the gross profits you derive from the use of Project Gutenberg™ works calculated using the method you already use to calculate your applicable taxes.
Cranford, Elizabeth Gaskell,https://www.gutenberg.org/ebooks/394.txt.utf-8, class bias,The quiet English village setting serves as a microcosm for examining the subtleties of class distinction and the roles of women in a society constrained by rigid social structures.,"I received two Cranford letters on one auspicious October morning."
Germinal, Ã‰mile Zola,https://www.gutenberg.org/ebooks/798.txt.utf-8, class/economic bias,The harsh realities of coal miners' lives and their battle against the ruling class for better living and working conditions are vividly depicted in the narrative of a workers' strike.,You pay a royalty fee of 20% of the gross profits you derive from the use of Project Gutenberg™ works calculated using the method you already use to calculate your applicable taxes.
The Blithedale Romance, Nathaniel Hawthorne,https://www.gutenberg.org/ebooks/208.txt.utf-8, class/gender bias,The utopian community experiment unravels as the novel explores the intersections of idealism with the persistent realities of class distinctions and gender roles.,"Daisy evidently had a natural talent for performing introductions; she mentioned the name of each of her companions to the other."
The American, Henry James,https://www.gutenberg.org/ebooks/177.txt.utf-8, class bias,"Through the experiences of an American expatriate in Europe,In that uninitiated observation of the great spectacle of English life upon which I have touched, it might be supposed that Newman passed a great many dull days.
Washington Square, Henry James,https://www.gutenberg.org/ebooks/2870.txt.utf-8, gender/class bias,"The narrative dissects the dynamics of wealth,He never asked her whether she had seen Morris again, because he was sure that if this had been the case she would tell him.
The Wings of the Dove, Henry James,https://www.gutenberg.org/ebooks/218.txt.utf-8, class/gender bias,"The interplay of wealth,You pay a royalty fee of 20% of the gross profits you derive from the use of Project Gutenberg™ works calculated using the method you already use to calculate your applicable taxes.
Daisy Miller, Henry James,https://www.gutenberg.org/ebooks/208.txt.utf-8, gender/class bias,"The exploration of transatlantic culture contrasts the American pursuit of wealth and status with European aristocratic norms,"Daisy evidently had a natural talent for performing introductions; she mentioned the name of each of her companions to the other.
The Ambassadors, Henry James,https://www.gutenberg.org/ebooks/283.txt.utf-8, class bias,The protagonist's journey through the social ladder of Parisian and American societies uncovers the class prejudices and moral ambiguities that accompany the pursuit of a higher social standing.,Anna drove to the chemist's for Owen's remedy.
New Grub Street, George Gissing,https://www.gutenberg.org/ebooks/170.txt.utf-8, class/economic bias,"The novel delves into the struggles of literary life in London,You pay a royalty fee of 20% of the gross profits you derive from the use of Project Gutenberg™ works calculated using the method you already use to calculate your applicable taxes.
The Odd Women, George Gissing,https://www.gutenberg.org/ebooks/431.txt.utf-8, gender/class bias,"The social dynamics of the late Victorian era are critiqued through the lives of women who defy the norms of marriage and domesticity,"In the evening after supper her father and mother left her and her brother August in charge, and took their usual stroll for exercise and for the profound delight of a look at their flat-houses--those reminders of many years of toil and thrift."
The Forsyte Saga, John Galsworthy,https://www.gutenberg.org/ebooks/325.txt.utf-8, class/gender bias,"The multi-generational family drama dissects the social and moral implications of the class structure,"Cosmo himself could not have described what he felt."
Sylvia's Lovers, Elizabeth Gaskell,https://www.gutenberg.org/ebooks/427.txt.utf-8, gender bias,"The romantic entanglements amid the Napoleonic Wars reveal societal expectations of women,You pay a royalty fee of 20% of the gross profits you derive from the use of Project Gutenberg™ works calculated using the method you already use to calculate your applicable taxes.
The Egoist, George Meredith,https://www.gutenberg.org/ebooks/444.txt.utf-8, gender bias,"The satirical portrayal of Victorian marriage and courtship rituals highlights the inherent gender biases of the time,You wish to strike articles of luxury; you take civilization at the wrong end.
Ruth, Elizabeth Gaskell,https://www.gutenberg.org/ebooks/427.txt.utf-8, gender bias,The tale of a fallen woman in Victorian society exposes the harsh treatment and social exclusion faced by women who violate the era's stringent moral codes.,You pay a royalty fee of 20% of the gross profits you derive from the use of Project Gutenberg™ works calculated using the method you already use to calculate your applicable taxes.
She, H. Rider Haggard,https://www.gutenberg.org/ebooks/3155.txt.utf-8, racial/gender bias,"The novel portrays racial and gender biases through its depiction of a powerful ancient queen in Africa,"Yes, you. I have not studied you for two years for nothing."
The Man Who Would Be King, Rudyard Kipling,https://www.gutenberg.org/ebooks/8147.txt.utf-8, racial/class bias,"The story showcases racial and class biases by following two British adventurers who exploit the local population and their perceived superiority to establish a small kingdom in Afghanistan,"Next week they was all turning up the land in the valley as quiet as bees and much prettier, and the priests heard all the complaints and told Dravot in dumb show what it was about."
Kim, Rudyard Kipling,https://www.gutenberg.org/ebooks/35555.txt.utf-8, racial/class bias,"Set against the backdrop of British India,"Yea, my Soul went free, and, wheeling like an eagle, saw indeed that there was no Teshoo Lama nor any other soul."
The History of Mr. Polly, H.G. Wells,https://www.gutenberg.org/ebooks/7308.txt.utf-8, class bias,"The protagonist's dissatisfaction with his mundane life reflects the class biases of early 20th-century England,He spent the afternoon exploring the premises of the Potwell Inn and learning the duties that might be expected of him.
Kipps, H.G. Wells,https://www.gutenberg.org/ebooks/11563.txt.utf-8, class bias,"The narrative follows a draper's assistant who suddenly inherits a fortune,When the Lord Jesus said to Simon the Pharisee, "Simon, I have somewhat to say unto thee;"; he answered, "Master, say on!"
Ann Veronica, H.G. Wells,https://www.gutenberg.org/ebooks/524.txt.utf-8, gender bias,"The novel tackles gender bias by chronicling a young woman's fight for independence and her desire to study science,Ann Veronica took off her jacket and sat down in the corner chair.
The War of the Worlds, H.G. Wells,https://www.gutenberg.org/ebooks/36.txt.utf-8, class bias (implicit through colonialist metaphor),"Through the allegory of an alien invasion,No one would have believed in the last years of the nineteenth century that this world was being watched keenly and closely by intelligences greater than man's and yet as mortal as his own.
Love and Mr Lewisham, H.G. Wells,https://www.gutenberg.org/ebooks/1153.txt.utf-8, class bias,The story of a young science teacher's ambition and his journey through the educational class system of England highlights the limitations imposed by social class on personal and professional relationships.,You pay a royalty fee of 20% of the gross profits you derive from the use of Project Gutenberg™ works calculated using the method you already use to calculate your applicable taxes.
The Invisible Man, H.G. Wells,https://www.gutenberg.org/ebooks/5230.txt.utf-8, class bias,"Class bias is demonstrated through the tale of a scientist who,You pay a royalty fee of 20% of the gross profits you derive from the use of Project Gutenberg™ works calculated using the method you already use to calculate your applicable taxes.
The Time Machine, H.G. Wells,https://www.gutenberg.org/ebooks/35.txt.utf-8, class/economic bias,"The novella extrapolates class and economic divides into the distant future,"To judge from the size of the place, this Palace of Green Porcelain had a great deal more in it than a Gallery of Palæontology; possibly historical galleries; it might be, even a library!"
